Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked,Ticket_number
0,2,108,1,22.0,1,0,7.25,2,21171
1,0,190,0,38.0,1,0,71.2833,0,17599
1,2,353,0,26.0,0,0,7.925,2,3101282
1,0,272,0,35.0,1,0,53.1,2,113803
0,2,15,1,35.0,0,0,8.05,2,373450
0,2,554,1,25.0,0,0,8.4583,1,330877
0,0,515,1,54.0,0,0,51.8625,2,17463
0,2,624,1,2.0,3,1,21.075,2,349909
1,2,412,0,27.0,0,2,11.1333,2,347742
1,1,576,0,14.0,1,0,30.0708,0,237736
1,2,727,0,4.0,1,1,16.7,2,9549
1,0,95,0,58.0,0,0,26.55,2,113783
0,2,729,1,20.0,0,0,8.05,2,2151
0,2,28,1,39.0,1,5,31.275,2,347082
0,2,840,0,14.0,0,0,7.8542,2,350406
1,1,359,0,55.0,0,0,16.0,2,248706
0,2,682,1,2.0,4,1,29.125,1,382652
1,1,867,1,30.0,0,0,13.0,2,244373
0,2,839,0,31.0,1,0,18.0,2,345763
1,2,512,0,21.5,0,0,7.225,0,2649
0,1,273,1,35.0,0,0,26.0,2,239865
1,1,80,1,34.0,0,0,13.0,2,248698
1,2,523,0,15.0,0,0,8.0292,1,330923
1,0,765,1,28.0,0,0,35.5,2,113788
0,2,626,0,8.0,3,1,21.075,2,349909
1,2,44,0,38.0,1,5,31.3875,2,347077
0,2,240,1,25.0,0,0,7.225,0,2631
0,0,260,1,19.0,3,2,263.0,2,19950
1,2,605,0,21.5,0,0,7.8792,1,330959
0,2,813,1,25.0,0,0,7.8958,2,349216
0,0,828,1,40.0,0,0,27.7208,0,17601
1,0,776,0,35.0,1,0,146.5208,0,17569
1,2,289,0,21.5,0,0,7.75,1,335677
0,1,856,1,66.0,0,0,10.5,2,24579
0,0,535,1,28.0,1,0,82.1708,0,17604
0,0,372,1,42.0,1,0,52.0,2,113789
1,2,505,1,25.0,0,0,7.2292,0,2677
0,2,134,1,21.0,0,0,8.05,2,2152
0,2,837,0,18.0,2,0,18.0,2,345764
1,2,589,0,14.0,1,0,11.2417,0,2651
0,2,7,0,40.0,1,0,9.475,2,7546
0,1,827,0,27.0,1,0,21.0,2,11668
0,2,446,1,25.0,0,0,7.8958,0,349253
1,1,456,0,3.0,1,2,41.5792,0,2123
1,2,212,0,19.0,0,0,7.8792,1,330958
0,2,697,1,25.0,0,0,8.05,2,23567
0,2,473,1,25.0,1,0,15.5,1,370371
1,2,604,0,21.5,0,0,7.75,1,14311
0,2,726,1,25.0,2,0,21.6792,0,2662
0,2,38,0,18.0,1,0,17.8,2,349237
0,2,629,1,7.0,4,1,39.6875,2,3101295
0,2,594,1,21.0,0,0,7.8,2,39886
1,0,333,0,49.0,1,0,76.7292,0,17572
1,1,246,0,29.0,1,0,26.0,2,2926
0,0,620,1,65.0,0,1,61.9792,0,113509
1,0,873,1,40.0,0,0,35.5,2,19947
1,1,707,0,21.0,0,0,10.5,2,31026
0,2,595,1,28.5,0,0,7.2292,0,2697
1,1,853,0,5.0,1,2,27.75,2,34651
0,2,299,1,11.0,5,2,46.9,2,2144
0,2,749,1,22.0,0,0,7.2292,0,2669
1,0,385,0,38.0,0,0,80.0,2,113572
0,0,337,1,45.0,1,0,83.475,2,36973
0,2,755,1,4.0,3,2,27.9,2,347088
0,0,784,1,40.0,0,0,27.7208,0,17605
1,2,560,1,25.0,1,1,15.2458,0,2661
1,1,596,0,29.0,0,0,10.5,2,29395
0,2,185,1,19.0,0,0,8.1583,2,3464
1,2,25,0,17.0,4,2,7.925,2,3101281
0,2,440,1,26.0,2,0,8.6625,2,315151
0,1,396,1,32.0,0,0,10.5,2,33111
0,2,300,0,16.0,5,2,46.9,2,2144
0,1,376,1,21.0,0,0,73.5,2,14879
0,2,161,1,26.0,1,0,14.4542,0,2680
1,2,87,1,32.0,0,0,56.4958,2,1601
0,2,546,1,25.0,0,0,7.65,2,348123
0,2,778,1,25.0,0,0,7.8958,2,349208
0,2,563,1,25.0,0,0,8.05,2,374746
1,1,127,1,0.83,0,2,29.0,2,248738
1,2,223,0,30.0,0,0,12.475,2,364516
0,2,842,1,22.0,0,0,9.0,2,345767
1,2,737,1,29.0,0,0,9.5,2,345779
1,2,519,0,21.5,0,0,7.7875,1,330932
0,0,141,1,28.0,0,0,47.1,2,113059
1,1,386,0,17.0,0,0,10.5,2,14885
1,2,52,0,33.0,3,0,15.85,2,3101278
0,2,255,1,16.0,1,3,34.375,2,6608
0,2,764,1,25.0,0,0,8.05,2,392086
1,0,259,0,23.0,3,2,263.0,2,19950
0,2,149,1,24.0,0,0,8.05,2,343275
0,2,159,1,29.0,0,0,8.05,2,343276
0,2,31,1,20.0,0,0,7.8542,2,347466
0,0,150,1,46.0,1,0,61.175,2,5734
0,2,209,1,26.0,1,2,20.575,2,2315
0,2,184,1,59.0,0,0,7.25,2,364500
0,2,740,1,25.0,0,0,8.05,2,374910
0,0,292,1,71.0,0,0,34.6542,0,17754
1,0,308,1,23.0,0,1,63.3583,0,17759
1,1,219,0,34.0,0,1,23.0,2,231919
0,1,422,1,34.0,1,0,26.0,2,244367
0,2,656,0,28.0,0,0,7.8958,2,349245
0,2,658,1,25.0,0,0,7.8958,2,349215
0,0,858,1,21.0,0,1,77.2875,2,35281
0,2,405,1,33.0,0,0,8.6542,2,7540
0,2,312,1,37.0,2,0,7.925,2,3101276
0,2,542,1,28.0,0,0,7.8958,2,349207
1,2,724,0,21.0,0,0,7.65,2,343120
1,2,559,1,25.0,0,0,7.775,2,312991
0,2,675,1,38.0,0,0,7.8958,2,349249
1,2,552,0,21.5,1,0,24.15,1,371110
0,0,667,1,47.0,0,0,52.0,2,110465
0,2,882,0,14.5,1,0,14.4542,0,2665
0,2,67,1,22.0,0,0,8.05,2,324669
0,2,417,0,20.0,1,0,9.825,2,4136
0,2,46,0,17.0,0,0,14.4583,0,2627
0,2,645,1,21.0,0,0,7.925,2,3101294
0,2,178,1,70.5,0,0,7.75,1,370369
0,1,826,1,29.0,1,0,21.0,2,11668
0,0,70,1,24.0,0,1,247.5208,0,17558
0,2,24,0,2.0,4,2,31.275,2,347082
0,1,362,1,21.0,2,0,73.5,2,14879
0,2,551,1,25.0,0,0,8.05,2,54510
0,1,575,1,32.5,1,0,30.0708,0,237736
1,1,848,0,32.5,0,0,13.0,2,27267
0,0,857,1,54.0,0,1,77.2875,2,35281
1,2,588,1,12.0,1,0,11.2417,0,2651
0,2,525,1,25.0,0,0,7.75,1,370372
1,2,499,1,24.0,0,0,7.1417,2,17369
1,2,653,0,21.5,1,1,22.3583,0,2668
0,2,234,1,45.0,0,0,6.975,2,347061
0,2,225,1,33.0,0,0,7.8958,0,349241
0,2,165,1,20.0,0,0,7.05,2,3101307
0,2,695,0,47.0,1,0,14.5,2,3337
1,1,851,0,29.0,1,0,26.0,2,228414
0,1,772,1,25.0,0,0,13.0,2,29178
0,1,685,1,23.0,0,0,15.0458,0,2133
1,0,585,0,19.0,0,2,26.2833,2,11752
0,0,271,1,37.0,1,0,53.1,2,113803
0,2,618,1,16.0,0,0,9.2167,2,7534
0,0,282,1,24.0,0,0,79.2,0,17593
0,2,99,0,21.5,0,2,15.2458,0,2678
1,2,597,0,22.0,0,0,7.75,2,347081
1,2,319,0,24.0,1,0,15.85,2,3101279
0,2,116,1,19.0,0,0,6.75,1,365222
0,1,32,1,18.0,0,0,11.5,2,231945
0,1,586,1,19.0,1,1,36.75,2,33112
1,2,29,1,27.0,0,0,7.7958,2,350043
0,2,254,0,9.0,2,2,34.375,2,6608
0,1,580,1,36.5,0,2,26.0,2,230080
0,1,121,1,42.0,0,0,13.0,2,244310
0,1,68,1,51.0,0,0,12.525,2,1166
1,0,643,0,22.0,1,0,66.6,2,113776
0,2,532,1,55.5,0,0,8.05,2,11206
0,2,889,1,40.5,0,2,14.5,2,851
0,2,612,1,25.0,0,0,7.3125,2,265302
0,0,866,1,51.0,0,1,61.3792,0,17597
1,2,287,0,16.0,0,0,7.7333,1,35851
0,2,181,1,30.0,0,0,8.05,2,392090
0,2,767,1,25.0,0,0,8.6625,2,315037
0,2,716,1,25.0,8,2,69.55,2,2343
0,2,186,1,44.0,0,1,16.1,2,371362
1,1,847,0,40.0,0,0,15.75,2,33595
0,2,82,1,26.0,0,0,7.775,2,347068
0,2,129,1,17.0,0,0,8.6625,2,315093
0,2,628,1,1.0,4,1,39.6875,2,3101295
1,2,293,1,9.0,0,2,20.525,2,363291
1,0,157,0,35.0,0,1,55.0,2,113505
0,2,760,0,45.0,1,4,27.9,2,347088
0,0,69,1,40.0,0,0,25.925,2,17318
0,2,486,1,28.0,0,0,56.4958,2,1601
0,0,832,1,61.0,0,0,33.5,2,111240
0,2,680,1,4.0,4,1,29.125,1,382652
1,2,408,0,1.0,1,1,11.1333,2,347742
0,2,752,1,21.0,0,0,7.925,2,3101280
0,0,769,1,56.0,0,0,30.6958,0,17764
0,2,444,1,18.0,1,1,7.8542,2,350404
0,2,464,1,25.0,3,1,25.4667,2,4133
0,0,388,0,50.0,0,0,28.7125,0,17595
0,1,320,1,30.0,0,0,13.0,2,250653
0,2,474,1,36.0,0,0,0.0,2,1601
0,2,717,0,21.5,8,2,69.55,2,2343
0,1,650,1,30.0,0,0,15.05,0,2131
0,2,41,1,9.0,4,2,31.3875,2,347077
1,1,76,1,1.0,2,1,39.0,2,230136
1,2,441,0,4.0,0,2,22.025,2,315153
0,0,700,1,40.0,0,0,50.0,2,113767
1,2,601,0,21.5,1,0,15.5,1,370365
1,0,698,1,45.0,0,0,26.55,2,111428
0,2,101,1,40.0,1,1,15.5,1,364849
0,2,823,1,36.0,0,0,7.8958,2,349247
1,1,664,0,32.0,0,0,13.0,2,234604
0,1,136,1,19.0,0,0,13.0,2,28424
1,2,20,0,19.0,1,0,7.8542,2,350046
1,1,579,1,3.0,1,1,26.0,2,230080
1,0,113,0,44.0,0,0,27.7208,0,17610
1,0,495,0,58.0,0,0,146.5208,0,17569
0,2,533,1,25.0,0,0,7.75,1,368703
0,2,611,1,42.0,0,1,8.4042,2,4579
1,2,497,0,21.5,0,0,7.75,1,370370
0,1,881,0,24.0,0,0,13.0,2,248747
0,2,834,1,28.0,0,0,9.5,2,345770
0,2,721,1,25.0,8,2,69.55,2,2343
0,2,403,1,34.0,0,0,6.4958,2,3101264
0,2,878,1,45.5,0,0,7.225,0,2628
1,2,166,1,18.0,0,0,8.05,2,3540
0,2,789,0,2.0,0,1,10.4625,2,347054
0,2,51,1,32.0,1,0,15.85,2,3101278
1,2,9,1,26.0,0,0,18.7875,0,2699
1,2,140,0,16.0,0,0,7.75,1,367231
1,0,94,1,40.0,0,0,31.0,0,112277
0,2,12,1,24.0,0,0,7.05,2,3101311
1,1,131,0,35.0,0,0,21.0,2,13528
0,2,649,1,22.0,0,0,7.25,2,21174
0,1,288,1,30.0,0,0,13.0,2,250646
0,2,437,1,25.0,1,0,7.75,1,367229
1,0,582,0,31.0,1,0,113.275,0,35273
1,2,375,0,27.0,0,0,7.925,2,3101283
0,1,390,1,42.0,1,0,27.0,2,243847
1,0,72,0,32.0,0,0,76.2917,0,11813
0,1,338,1,30.0,0,0,10.5,2,14208
1,2,791,1,16.0,0,0,8.05,2,392089
0,1,105,1,27.0,0,0,13.0,2,220367
0,2,306,1,51.0,0,0,8.05,2,21440
0,2,581,1,25.0,0,0,7.8958,2,349234
1,0,379,1,38.0,1,0,90.0,2,19943
0,2,83,1,22.0,0,0,9.35,2,4348
1,1,531,1,19.0,0,0,10.5,2,751
0,2,492,1,20.5,0,0,7.25,2,21173
0,1,243,1,18.0,0,0,13.0,2,236171
0,2,467,0,21.5,3,1,25.4667,2,4133
1,0,339,0,35.0,1,0,83.475,2,36973
0,2,460,1,29.0,0,0,7.775,2,347067
0,1,754,1,59.0,0,0,13.5,2,237442
1,2,43,0,5.0,4,2,31.3875,2,347077
0,1,479,1,24.0,0,0,10.5,2,29566
0,2,329,0,21.5,0,0,7.55,2,6609
0,1,370,1,44.0,1,0,26.0,2,26707
1,1,172,0,8.0,0,2,26.25,2,31921
0,1,648,1,19.0,0,0,10.5,2,28665
0,1,383,1,33.0,0,0,12.275,2,1585
0,2,883,0,21.5,1,0,14.4542,0,2665
1,2,567,0,21.5,1,0,15.5,1,367230
0,1,169,1,29.0,0,0,10.5,2,14263
0,2,500,1,22.0,0,0,7.125,2,3101275
0,2,47,1,30.0,0,0,7.225,0,2694
0,0,539,1,44.0,2,0,90.0,1,19928
0,2,481,0,25.0,0,0,7.775,2,347071
1,1,322,0,24.0,0,2,14.5,2,250649
1,0,78,1,37.0,1,1,52.5542,2,11751
0,1,147,1,54.0,1,0,26.0,2,244252
0,2,673,1,25.0,0,0,7.25,2,362316
0,2,790,0,29.0,1,1,10.4625,2,347054
0,0,782,1,62.0,0,0,26.55,2,113514
0,2,487,1,30.0,1,0,16.1,2,3336
0,2,702,0,41.0,0,2,20.2125,2,370129
1,2,819,0,29.0,0,2,15.2458,0,2650
1,0,808,0,35.0,0,0,79.2,0,17585
1,0,156,0,30.0,0,0,86.5,2,110152
1,0,844,0,35.0,0,0,512.3292,0,17755
1,1,636,0,50.0,0,1,26.0,2,230433
0,2,771,1,25.0,0,0,7.75,1,384461
1,2,42,1,3.0,4,2,31.3875,2,347077
0,0,799,1,52.0,1,1,79.65,2,110413
0,0,340,1,40.0,0,0,0.0,2,112059
0,2,356,0,21.5,0,0,7.75,1,382649
0,1,674,1,36.0,0,0,10.5,2,17248
0,2,631,1,16.0,4,1,39.6875,2,3101295
1,2,652,1,25.0,1,0,7.775,2,347083
1,0,305,0,58.0,0,1,153.4625,2,17582
1,0,91,0,35.0,0,0,135.6333,2,17760
0,0,125,1,40.0,0,0,31.0,2,113798
1,2,817,1,25.0,0,0,0.0,2,1601
1,1,530,0,41.0,0,1,19.5,2,250644
0,0,577,1,37.0,0,1,29.7,0,17596
1,2,350,0,21.5,0,0,7.75,1,370375
1,0,33,0,63.0,1,0,77.9583,2,13502
0,2,482,0,45.0,0,0,7.75,2,347073
0,1,634,1,30.0,0,0,0.0,2,239853
0,2,681,1,7.0,4,1,29.125,1,382652
1,2,2,0,35.0,1,1,20.25,2,2673
0,2,227,1,65.0,0,0,7.75,1,336439
0,2,614,1,28.0,0,0,7.8542,2,347464
0,2,887,1,16.0,0,0,9.5,2,345778
1,2,221,1,19.0,0,0,8.05,2,10482
0,0,770,1,40.0,0,0,26.0,2,113056
0,2,779,1,33.0,0,0,8.6625,0,349239
1,2,886,1,30.0,0,0,9.5,2,345774
0,2,570,1,22.0,0,0,7.8958,2,349206
1,1,378,1,42.0,0,0,13.0,2,237798
1,2,177,0,22.0,0,0,7.75,1,370373
1,0,65,0,26.0,0,0,78.85,2,19877
1,0,90,0,19.0,1,0,91.0792,0,11967
0,1,477,1,36.0,0,0,12.875,0,2163
0,2,315,0,24.0,0,0,8.85,2,349236
0,2,541,1,24.0,0,0,7.8958,2,349233
0,0,478,1,40.0,0,0,27.7208,0,17612
0,2,324,1,23.5,0,0,7.2292,0,2693
0,0,17,0,2.0,1,2,151.55,2,113781
1,0,714,1,40.0,0,0,30.5,2,19988
1,0,71,0,50.0,0,1,247.5208,0,17558
1,2,431,0,21.5,0,0,7.75,1,9234
1,2,518,1,25.0,2,0,23.25,1,367226
0,2,411,1,19.0,0,0,0.0,2,1601
1,1,428,0,28.0,0,0,12.35,1,226593
0,2,868,1,25.0,0,0,8.05,2,2466
1,0,16,1,0.92,1,2,151.55,2,113781
1,0,248,0,35.0,0,0,110.8833,0,17421
1,0,647,0,17.0,1,0,108.9,0,17758
0,1,3,1,30.0,1,0,24.0,0,3381
1,0,263,0,30.0,0,0,56.9292,0,17485
1,0,348,0,24.0,0,0,83.1583,0,11767
1,0,710,0,18.0,2,2,262.375,0,17608
0,1,449,0,26.0,1,1,26.0,2,250651
0,2,355,1,28.0,0,0,7.8958,2,349243
0,1,342,1,43.0,1,1,26.25,2,13529
1,2,590,0,26.0,0,0,7.8542,2,347470
1,1,423,0,24.0,1,0,26.0,2,244367
0,1,555,1,54.0,0,0,14.0,2,29011
1,0,859,0,31.0,0,2,164.8667,2,36928
1,0,775,0,40.0,1,1,134.5,0,16966
0,2,211,1,22.0,0,0,7.25,2,21172
0,2,200,1,27.0,0,0,7.8958,2,349219
1,1,762,0,30.0,0,0,12.35,1,234818
1,1,128,0,22.0,1,1,29.0,2,248738
0,2,722,1,25.0,8,2,69.55,2,2343
1,0,877,0,36.0,0,0,135.6333,0,17760
0,2,598,1,61.0,0,0,6.2375,2,345364
1,1,60,0,36.0,0,0,13.0,2,28551
1,2,295,0,31.0,1,1,20.525,2,363291
1,0,363,0,16.0,0,1,57.9792,0,111361
1,2,517,0,21.5,2,0,23.25,1,367226
0,0,637,1,45.5,0,0,28.5,2,113043
0,0,304,1,38.0,0,1,153.4625,2,17582
0,2,838,1,16.0,2,0,18.0,2,345764
1,0,265,0,35.0,1,0,133.65,2,17611
0,2,210,1,25.0,0,0,7.8958,2,349225
0,0,642,1,29.0,1,0,66.6,2,113776
1,0,117,0,41.0,0,0,134.5,0,16966
1,2,192,1,45.0,0,0,8.05,2,7598
0,0,93,1,45.0,0,0,35.5,2,113784
1,1,578,1,2.0,1,1,26.0,2,230080
1,0,258,0,24.0,3,2,263.0,2,19950
0,1,170,1,28.0,0,0,13.0,2,248740
0,1,733,1,25.0,0,0,13.0,2,244361
0,1,262,1,36.0,0,0,13.0,2,229236
1,1,111,0,24.0,0,0,13.0,2,248733
1,1,768,0,40.0,0,0,13.0,2,31418
1,2,207,0,21.5,1,0,16.1,2,386525
1,2,183,1,3.0,1,1,15.9,2,37671
0,2,215,1,42.0,0,0,8.6625,2,315088
0,2,608,1,23.0,0,0,9.225,2,7267
0,0,870,1,40.0,0,0,35.0,2,113510
0,2,237,1,15.0,1,1,7.2292,0,2695
0,2,37,1,25.0,1,0,17.8,2,349237
0,2,879,1,25.0,0,0,7.225,0,2647
0,2,835,1,28.0,0,0,9.5,2,345783
1,0,104,0,22.0,0,1,55.0,2,113505
0,1,270,0,38.0,0,0,13.0,2,237671
1,2,522,0,21.5,0,0,7.8792,1,330931
1,2,545,0,21.5,0,0,7.8792,1,330980
0,2,759,1,40.0,1,4,27.9,2,347088
0,1,888,1,29.0,1,0,27.7208,0,2167
0,2,64,0,45.0,0,1,14.4542,0,2691
0,2,40,1,35.0,0,0,7.05,2,3101310
0,2,599,1,25.0,1,0,15.5,1,370365
0,2,5,1,30.0,0,0,7.25,2,7076
1,0,845,0,60.0,1,0,75.25,0,110813
1,2,562,0,21.5,0,0,7.2292,0,2626
1,2,400,0,21.5,0,0,7.75,1,14313
1,0,48,0,24.0,0,0,69.3,0,17477
1,0,328,1,25.0,1,0,55.4417,0,11765
0,2,863,1,18.0,1,0,6.4958,2,3101267
0,2,75,1,19.0,0,0,8.05,2,323951
0,0,690,1,22.0,0,0,135.6333,0,17760
0,2,625,0,3.0,3,1,21.075,2,349909
1,0,536,0,35.0,1,0,82.1708,0,17604
1,2,454,0,22.0,0,0,7.25,2,7077
0,0,862,1,27.0,0,2,211.5,0,113503
0,2,85,1,20.0,0,0,4.0125,0,2648
0,2,314,1,19.0,0,0,7.775,2,347069
1,0,86,0,42.0,0,0,227.525,0,17757
1,2,572,0,1.0,0,2,15.7417,0,2653
0,2,811,1,32.0,0,0,7.925,2,3101293
1,0,373,0,35.0,1,0,52.0,2,113789
0,2,665,1,25.0,0,0,7.8958,2,349227
0,1,205,1,18.0,0,0,73.5,2,14879
0,2,298,1,1.0,5,2,46.9,2,2144
1,1,118,0,36.0,0,0,13.0,2,27849
0,2,715,1,25.0,0,0,7.7292,1,367655
1,1,468,0,17.0,0,0,12.0,0,1748
1,0,144,1,36.0,1,2,120.0,2,113760
1,2,393,1,21.0,0,0,7.7958,2,350034
0,2,313,1,28.0,2,0,7.925,2,3101277
1,0,583,0,23.0,1,0,113.275,0,35273
1,2,728,0,24.0,0,2,16.7,2,9549
0,2,404,1,22.0,0,0,7.7958,2,350052
0,2,613,0,31.0,0,0,7.8542,2,350407
0,1,524,1,46.0,0,0,26.0,2,28403
0,1,623,1,23.0,0,0,10.5,2,244278
1,1,821,0,28.0,0,0,12.65,2,240929
1,2,592,1,39.0,0,0,7.925,2,3101289
0,2,6,1,26.0,0,0,8.05,2,341826
0,2,418,0,21.0,1,0,9.825,2,4137
0,2,318,1,28.0,1,0,15.85,2,3101279
0,2,616,0,20.0,0,0,8.6625,2,315096
0,1,274,1,34.0,1,0,21.0,2,28664
0,2,861,1,51.0,0,0,7.75,2,347064
1,1,687,1,3.0,1,1,18.75,2,29106
0,2,88,1,21.0,0,0,7.775,2,312992
0,2,465,0,21.5,3,1,25.4667,2,4133
0,2,732,1,25.0,0,0,7.8958,2,349222
0,2,343,1,25.0,0,0,6.8583,1,394140
1,0,540,0,33.0,1,0,90.0,1,19928
0,1,191,1,30.0,0,0,0.0,2,239853
1,2,792,1,44.0,0,0,7.925,2,3101269
0,2,528,0,21.5,0,0,8.05,2,343095
1,1,226,0,34.0,1,1,32.5,2,28220
1,1,742,0,18.0,0,2,13.0,2,250652
0,1,513,1,30.0,0,0,13.0,2,28228
0,2,829,0,10.0,0,2,24.15,2,345773
0,2,281,1,25.0,0,0,7.8958,0,349254
0,2,155,1,21.0,0,0,7.7333,1,13032
0,2,884,1,29.0,0,0,7.875,2,315082
0,2,198,0,28.0,1,1,14.4,2,347080
0,2,701,1,18.0,1,1,20.2125,2,370129
0,2,872,1,25.0,0,0,7.25,2,34244
1,1,162,0,28.0,1,0,26.0,2,2003
1,1,662,0,19.0,0,0,26.0,2,250655
0,2,249,1,25.0,0,0,7.75,1,364851
1,2,663,1,32.0,0,0,8.05,2,392078
1,0,92,1,28.0,0,0,26.55,2,110564
1,2,810,0,21.5,1,0,16.1,2,376564
1,1,491,0,42.0,1,0,26.0,2,3085
0,2,420,1,17.0,0,0,7.125,2,3101274
0,0,744,1,50.0,1,0,55.9,2,13507
1,0,143,0,14.0,1,2,120.0,2,113760
0,2,253,0,21.0,2,2,34.375,2,6608
1,1,688,0,24.0,2,3,18.75,2,29106
0,0,261,1,64.0,1,4,263.0,2,19950
0,1,447,1,31.0,0,0,10.5,2,18723
1,1,344,0,45.0,1,1,26.25,2,13529
0,2,323,1,20.0,0,0,9.5,2,345769
0,2,659,1,25.0,1,0,7.775,2,347076
1,1,679,0,28.0,0,0,13.0,2,230434
